"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44"
"GSM4486055",-14.3824009297081,20.9308538335393,4.29714320960579,-9.37044388405004,-52.2502823581108,43.1793054011242,9.64094295668786,20.0693021459358,-43.1948231800144,-35.0957462897883,22.8165689284516,-10.7244278720537,31.5768942495384,37.2792870570221,58.9772984510623,-27.1484537473297,-13.930110368172,36.2881977635565,5.89010552593537,-44.9083354375437,-15.8032390887336,90.1263772794444,25.2557561455333,48.6882552160046,-7.8309216462576,30.7523556178299,-6.46804610342904,17.0603726114111,16.5812225523697,-50.0505136928435,-29.4040094462172,-34.1109030549827,56.8514507657651,-24.3283124144091,-51.7256646148261,9.40936756202109,-19.5992795139332,5.65314571268701,-80.9278493839793,22.221002757436,-23.4343006401389,78.5794266109091,-83.0306361337429,-8.32112156956555e-14
"GSM4486056",93.4603895089749,-36.0032165577258,18.4617662147203,-54.5804416957573,-41.2182409942351,11.238949096295,116.401662551822,8.1635885347429,-14.7873064691041,-21.9756244284301,-26.7030678782103,75.9828324377813,-34.9698395955102,-57.9173582956162,-41.154750323668,79.8611532442057,3.76851635129578,17.8979670275501,-23.9071293206206,-11.1883712835069,-34.3603431740328,-20.5334917215505,29.1282047678796,59.3191222806707,-6.45160649495134,-11.3770283354476,-28.797195483862,-26.7084212531345,-2.7777661592442,-9.30380597609581,52.6839888866924,12.5320468793033,-17.9916347873133,-33.1472482435561,-10.3145946200196,11.6640820186653,-46.7268612227164,-50.5667373921914,-11.6787782801073,8.79677061582381,21.0011374073071,15.6429022383679,4.19742646766545,-9.67143032326589e-14
"GSM4486057",48.6979071525028,-15.7676171538688,45.3188322226746,50.1335920243377,-22.9071418559711,-54.6542785994319,6.11195550141089,-41.0754551350674,-43.9152835138806,-37.5427526102319,9.98236573659221,-24.8231243699663,56.7602941483565,-33.2524344552063,14.5974033143213,-46.3117089019136,72.1424698988559,13.390943070048,50.046450882782,13.4133868164756,38.5126982391199,-3.64640835048331,-42.5842491012443,88.6632143669786,42.8113746983337,14.7247625629561,-20.8472404475003,21.4075565619214,70.3725452257483,-18.169902120896,-21.926082446699,15.8432940203878,8.84047666493989,64.048883768232,-14.1006848077925,30.4309243877724,-0.400953295957846,-58.810356411102,40.8848108878013,-14.8815233000786,-43.4209266044092,-35.7461059604502,32.3669126120199,-8.90225393401778e-14
"GSM4486058",35.0041681440701,26.630378283527,36.5427591895498,-6.43698172818502,21.3171224012632,38.3575254803264,-23.4999424346278,-30.3603289264699,33.3530611246391,53.3980611534478,7.06120780089168,62.2055722760709,19.3934120985293,3.51770546033632,89.8266594682044,-28.730282019524,31.4786619218186,-25.5100909485502,-39.5624430910325,71.4832775558048,-43.305506476679,-10.1186529351584,60.517319087872,-63.7123770090311,38.4030489210564,39.991858689561,-87.9597098548084,53.5506157138366,-20.901803332413,-18.1698710574197,56.3544078694225,-23.3859854758861,26.8071783176013,58.3954328078872,14.4081989437611,21.5600116566151,-26.7860503576743,-9.48186999044001,-12.4095773063479,13.5331010231248,-3.00365176394556,0.896446679584889,18.3576204466217,-1.00322528062691e-13
"GSM4486059",6.81503575967326,10.7979835970351,-19.0115643854523,7.03509945579663,-6.91010878694438,15.8372812100387,41.4189780706538,33.1187622726934,-22.4454258531044,-50.7367167270718,-53.1073992007051,-0.207851810901875,-21.4585557016777,-55.7500614699817,-22.2202416173366,-27.6338770939347,15.760438750162,-55.9490858799947,11.3122605143426,42.9783607286298,71.381986621243,22.2330192743766,15.6719570484487,-55.9858213118079,3.37115303119697,45.4571614583726,22.48590840161,20.0026637273066,-77.2205984088104,18.9603485611086,-70.6108421240357,-0.0360876050275416,-40.8004069455744,68.0942954828723,-24.2813318729068,-102.109158492405,-45.8433294348288,-29.0289835045983,-22.1256806766151,-20.9263746123242,-16.1336140443159,22.6470257465321,-18.6671884420252,-9.54271384134842e-14
"GSM4486060",12.9021411097472,-36.9719967524688,23.8214337351692,37.5195223354754,23.3112722170128,-28.8012622519218,-23.7732406374146,0.159308732886834,-22.7583780229355,-4.22668558087985,36.2947957550065,-15.8469922902613,36.2597363051239,38.3363539750644,-18.1634486616782,11.0322367723612,-25.1753712691211,-24.786091918739,-13.4593159549869,-53.3821231405964,10.6138616104083,23.3303648295815,98.7779019196784,-49.1154079156627,-71.4874212274544,-31.1276423924288,13.9094646647879,49.8207784144915,59.8528690859617,52.1934271239263,19.2570130752925,-73.9186663631302,-26.7948834797865,-38.6600256977853,-6.09026805857923,-41.4286377182843,-43.9222659516471,-84.9332972461368,40.4375195350998,26.4820686113059,-19.0406896828522,-24.5886865065569,10.160637677794,-7.39686090156511e-14
"GSM4486061",29.4747395075329,3.67594916593055,26.5439575663745,1.7508190800624,32.6830523087288,31.5335677953584,-26.5717325969871,-42.6140815717479,33.5727176761226,11.7708657580271,7.69199476780042,34.8907623540762,-35.3088665061073,18.6845860450832,-68.937588134881,-29.6063810701866,7.21228840871576,81.825956828937,-0.198413467673177,45.6749290144669,46.3517396353521,71.6402277544144,45.0215418310953,12.8875249163722,8.60889460511501,68.7376303997371,-44.8834496969551,-62.0160974404408,27.5224579119473,5.12696201349673,-37.3536539247912,-38.5002657772923,-20.4148435149326,-54.2562996137648,-8.90748768021317,-32.5547032108825,78.7288046577928,7.39941097043896,30.7688976285444,-50.925503524052,31.8352316342645,26.1528286177576,32.5466925430953,-8.31396244709535e-14
"GSM4486062",-37.1694260704105,69.0703134649798,12.8931254692088,-2.98569383320453,-14.8319739350963,-52.8753851301181,-11.316201024243,35.543607423675,8.10498340673929,-25.6428729530492,-95.1330150998355,84.4108763147925,18.4726589353061,68.8610210971851,-34.6575667457139,-38.3573336348396,-39.7295883289468,29.5951684525566,-38.5287220300985,-44.0840814506307,25.0841028728672,12.756163672228,49.5329553257643,25.7384880476884,-17.7963976667466,-39.6959311600714,-29.5343386397495,53.0527607280211,0.564469494885464,-15.4194115082957,-25.1584892773527,87.9562512719663,-41.7196656313163,43.3827441558322,33.9557630470479,34.2095470533089,25.3786882825644,4.63962456418772,7.52012704289923,15.1783746290176,17.6487950693449,-14.0218890197526,-0.94120764325385,-9.61591917203464e-14
"GSM4486063",33.7695456705726,42.082607931147,-36.3064895867157,24.0005833515764,-28.3580031518483,59.0207518296809,-24.0707251130313,-78.1585171725596,-51.2827029999839,-1.00302683937644,-46.5783933036723,-63.9205960391214,24.9986166931185,35.1362117260578,-27.1860387519481,37.5301657037609,-31.2608055234677,35.9613502329522,98.2362017685709,-30.3945246428119,3.50956558350441,-27.1242352209559,55.6669758246163,-23.1211460623651,64.4677241896807,-11.3500164913609,42.9694393478438,6.19690696342242,-44.7072606146849,-27.8163201345077,42.7434739798911,16.6455241438256,17.7062020768098,13.235724276665,10.8162379516969,-3.45403920270081,-19.8750635457268,9.2828919147204,23.6634127054053,21.707401617736,50.7093962947863,39.2837914411285,58.3450686581076,-8.24063040028022e-14
"GSM4486064",-37.8951649865305,-39.4071819491884,-29.8985894707898,-68.9802250640528,36.5608025356677,18.2567920354661,-31.8525330228223,56.3674966230279,-62.4244717515415,97.6971012113427,-9.38312497827179,48.5732137927357,26.5634099277565,-47.1763605706567,-2.17944099879647,-37.70479657655,-10.4466830572894,-64.2436679124999,84.1276710295673,-56.8940195469684,46.7232863461017,14.5891921608719,10.1956814729174,7.46293502887438,-15.1020139616825,-23.2470833640902,-51.8297500036716,-44.3557362700069,-0.537226498433145,-18.8472406928498,31.1401820636659,20.645948296012,46.8106878211775,1.34707079465478,-38.8343478937707,0.624554489652237,-1.03802856874867,1.52356250859721,36.2124681458629,-50.62430300702,16.4638122680384,-14.57821745263,-8.05791633424914,-9.48963130298353e-14
