"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"GSM2775193",33.8119223528285,31.7940246791727,12.2734711446434,-38.3175410308611,2.49648804765979,-37.7297984664764,-2.97448670890546,-16.7632187851961,-7.33607604284946,-14.5763914309058,20.6385871387528,-19.2872989392567,6.0507920348961,-5.43129003036858,-0.807580859401994,3.48499271621101,-0.710807043198834,-5.61084892775556,-18.3581215756641,25.2857328059911,-4.90242244641499,-9.31485648441361,15.4022707933319,2.75354466883252,1.8621926451794,0.160113064615104,-0.674254400046688,5.61341764495734,14.4082599253158,-4.70769256910586e-14
"GSM2775194",44.1771067890338,5.56588588931318,-3.57581162012014,46.5564942112595,-15.442065942143,0.79944572050854,-5.56331252924411,-5.22557229535055,2.42668904329026,-23.5012528711354,6.39774497985405,-9.00336290516949,-19.8247733718514,-9.14797400186409,-21.7670315526883,-10.8394349301673,-16.7358342661478,-14.6119480737338,2.07051460948021,4.87349548129693,-14.1756536792064,-9.68225665974831,-14.8012198202346,-19.8894512190768,-11.0847529215299,15.2024331398632,-1.76911404916497,-3.1305169589077,1.48537347294766,-4.76216288625153e-14
"GSM2775195",72.8409475910296,-17.1903041354988,19.5221502135244,-8.63339392692384,-7.71985736281859,45.4451839198139,8.55323218403329,-20.7008264963449,13.6527169109298,5.0897205500556,35.2117959187448,4.89821515299652,19.3451384704745,-27.0775001477443,6.76059402316978,2.62545477451851,1.06886273303514,-10.3184976817229,-3.85017931328769,-14.398270597135,-9.38714580229016,2.58594095602346,1.10400340809406,5.9572971227237,1.62959512942692,-2.70144153149232,0.321252917897118,1.67296888023612,-0.620389845902175,-4.91620633091827e-14
"GSM2775196",29.5256472788071,26.6662111722876,7.45175052454268,-13.7681825215233,12.3376172721971,-25.0188292771924,-5.43161804614555,5.60527771194513,-0.874794549619184,5.56836812851631,-1.43445067138558,13.3154127108572,5.40345448648774,1.9783787175649,-5.73192149043037,5.53169986501119,12.7490046620237,11.2810303385325,-7.6643459073042,-30.3422950425837,-11.8871540831687,5.88906511283909,-20.3134621782394,-6.30393273991392,1.01967321057873,19.1461945577032,16.6446272153453,19.5565817629937,5.35180136521513,-4.90024687493928e-14
"GSM2775197",17.2707138619187,36.5355412694013,20.5735907006611,-0.794677564242362,13.9920574737652,-2.5223852387359,1.27185258095516,11.5884180472467,8.17318690266508,-6.4619993681437,-1.83613358834882,1.50226386359825,10.4083338164448,1.75460713584887,-19.0731409985705,5.0364993253619,0.34340237328667,14.8375981621486,-0.202237343486337,-15.7000012208934,7.31200626531839,8.32762814442417,4.15048987449821,4.14842990799819,-7.9534656050585,5.08991991898899,-39.3315299829791,-14.9147729788273,8.01866467424429,-4.91863494378464e-14
"GSM2775198",31.0338682307672,7.21081489109804,13.5966454310593,23.6171345415421,6.29977858421032,1.11530602504008,0.374154999880734,12.2962298445844,6.82044460234417,9.76474314321874,-29.979844097152,4.6333588079083,0.0754911673523599,-1.15468255537843,18.6965044226418,4.90054082125373,-12.0990765641567,3.31828031703499,-11.941882345439,0.0490189811707315,-33.7849095631105,-14.2872985362282,15.5347755674308,1.95072232664161,25.5091468649392,-0.505647598818573,-5.56742207368337,-2.42476673096903,-2.53397934563692,-4.89296103634018e-14
"GSM2775199",38.6991832648907,19.9565482241755,3.80830815463855,-3.55418380902655,-1.03950469218949,4.17805742565258,-4.5670802100638,4.14371981694271,-5.00188236772154,13.8201325625526,-11.5181418813362,8.0814499709595,-4.52998622457396,1.59155565338947,-3.10948844336049,6.65095227881224,21.0755171620784,-16.5228667612176,1.78865440290491,-10.5636886196096,12.1326874605588,-28.5802198472994,4.00159873570656,-24.9900195053866,-8.59515521872103,-28.7834427605171,-1.21727795154401,2.47948403649895,7.20352737122933,-4.97726859727265e-14
"GSM2775200",84.2466572048222,-27.6125462288321,-41.9717569635631,-0.285510899154244,20.8686267522386,16.4270417196943,4.33982278918855,32.4514470049593,11.2841240893023,-4.43932873361125,-13.1173181480193,-8.78620112744944,7.6150162275479,9.72497331155,1.36126036259316,2.26476799653701,15.1663563476782,-26.4452180709479,-18.4261536758206,13.5688041077286,9.29939986781802,10.6917851933876,-5.08482340568421,8.11347389383302,-1.66026544069174,10.7611441567629,-0.856284092075484,3.35712778927186,3.90171005316328,-4.96165608598886e-14
"GSM2775201",3.51993652106057,62.3798873481755,-10.4325354869051,-5.80712043086003,11.2328519968967,-16.3012516870378,-5.2007831503107,1.86357963584907,7.26662208478403,-11.7659403578515,0.67788261322518,-9.3110859501854,12.7782672801601,-1.5302107202146,-0.849010771085589,0.572700363631875,-0.60517053475811,-11.6372401497215,1.57720819954464,-5.05539560095376,-5.19671955179254,8.90560293782035,-1.64356219539196,2.36655419246547,-5.74925270107279,-14.1027526019695,8.5779788257355,-12.4024837574504,-38.7311589231,-4.91273688396632e-14
"GSM2775202",33.921048021539,20.420271513987,20.1832727283727,40.2201940351772,-11.8513782052188,-22.2533996616372,7.89775240327618,3.59709273021221,4.14182209840445,-5.30193501126095,6.49481213867912,-2.09344611414635,-19.1314551149336,-5.97120513939776,6.13431518864461,-15.9995143402981,3.96720441093383,-8.40541368335724,5.15310312818328,-10.3816391905145,22.3219901124261,5.76690561041763,-5.26288424654293,26.8114381678646,19.6787188570156,-12.8538426478315,4.77126633101726,2.73528490815422,8.31346559376141,-4.85687878803986e-14
